RO,GRC,Constituency,Road,Block,Level,Unit,Postal,Label,eWeek,Job Type,Submitted Date,Submitted Time,Num Samples,Trap Status,Reason,Remark,Name of Officer,Last Lining Replaced Date Time,M.Ae.aegypti,F.Ae.aegypti,M.Ae.albopictus,F.Ae.albopictus,M.Ae.malayensis,F.Ae.malayensis,M.Ae.species,F.Ae.species,M.Cx.quinquefasciatus,F.Cx.quinquefasciatus,M.Cx.species,F.Cx.species,Other.mosquitoes,Chironomid,Other.insects,Total.samples,Total.specimens,ID.Comment,Special Note
,,,,,,,,1,,,19040101,065525,,,,1,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
,,,,,,,,1,,,19040101,065525,,,,-1,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,
,,,,,,,,1,,,19040101,065525,,,,1,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
,,,,,,,,1,,,20210501,191544,,,,0,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
,,,,,,,,1,,,20210502,034259,,,,1,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,
,,,,,,,,1,,,20210502,075913,,,,0,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
,,,,,,,,1,,,20210502,202332,,,,0,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
,,,,,,,,1,,,20210603,040033,,,,1,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,
,,,,,,,,1,,,20210603,040035,,,,-1,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,
,,,,,,,,1,,,20210504,204211,,,,1,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,
,,,,,,,,1,,,20210604,092659,,,,0,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,
,,,,,,,,1,,,20210606,145436,,,,1,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
,,,,,,,,1,,,20210507,133338,,,,0,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
,,,,,,,,1,,,20210607,193049,,,,1,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,
,,,,,,,,1,,,20210607,193052,,,,1,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,
,,,,,,,,1,,,20210509,170212,,,,0,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,
,,,,,,,,1,,,20210609,104333,,,,0,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,
,,,,,,,,1,,,20210609,142122,,,,1,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
,,,,,,,,1,,,20210609,142301,,,,1,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,
,,,,,,,,1,,,20210609,142308,,,,-1,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
,,,,,,,,1,,,20210510,132316,,,,0,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
,,,,,,,,1,,,20210510,132322,,,,0,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
,,,,,,,,1,,,20210510,132330,,,,0,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
,,,,,,,,1,,,20210510,132820,,,,0,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
,,,,,,,,1,,,20210510,133445,,,,0,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
,,,,,,,,1,,,20210510,143718,,,,0,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
,,,,,,,,1,,,20210510,143730,,,,0,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
,,,,,,,,1,,,19040101,065525,,,,1,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
,,,,,,,,1,,,20210510,144444,,,,0,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
,,,,,,,,1,,,20210510,144501,,,,0,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
,,,,,,,,1,,,20210510,144506,,,,0,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
,,,,,,,,1,,,20210510,144515,,,,0,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
,,,,,,,,1,,,20210510,144524,,,,0,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
,,,,,,,,1,,,20210510,144529,,,,0,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
,,,,,,,,1,,,20210510,144534,,,,0,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
,,,,,,,,1,,,20210610,162131,,,,1,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,
,,,,,,,,1,,,20210511,052745,,,,-1,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,
,,,,,,,,1,,,20210511,134059,,,,0,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,
,,,,,,,,1,,,20210511,134105,,,,0,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
,,,,,,,,1,,,20210511,134110,,,,0,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
,,,,,,,,1,,,20210511,134115,,,,0,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
,,,,,,,,1,,,20210511,134121,,,,0,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
,,,,,,,,1,,,20210511,134126,,,,0,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
,,,,,,,,1,,,20210611,070928,,,,0,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
,,,,,,,,1,,,20210612,065443,,,,0,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
,,,,,,,,1,,,20210612,065445,,,,1,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
,,,,,,,,1,,,20210612,113048,,,,0,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
,,,,,,,,1,,,20210514,175413,,,,1,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
,,,,,,,,1,,,20210514,183346,,,,0,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
,,,,,,,,1,,,20210514,183406,,,,1,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
,,,,,,,,1,,,20210514,183409,,,,1,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
,,,,,,,,1,,,20210614,114848,,,,1,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
,,,,,,,,1,,,20210515,154523,,,,1,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,
,,,,,,,,1,,,20210515,181818,,,,1,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,
,,,,,,,,1,,,20210515,181847,,,,-1,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,
,,,,,,,,1,,,20210515,182926,,,,1,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,
,,,,,,,,1,,,20210516,163413,,,,1,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,
